Group No;Group Name;CH No;Name;SEL;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign;Split;Frequency(2);Dup(2);Offset(2);Mode(2);DATA(2);Filter(2);TONE(2);Repeater Tone(2);TSQL Frequency(2);DTCS Code(2);DTCS Polarity(2);DV SQL(2);DV CSQL Code(2);Your Call Sign(2);RPT1 Call Sign(2);RPT2 Call Sign(2)
00;Satellite;44;FO-99 Uplink;OFF;145,915000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;;OFF;145,965000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;
00;Satellite;45;EO-88 Split;OFF;145,975000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;435,030000;OFF;0,500000;LSB;OFF;2;;;;;;;;;;
00;Satellite;46;EO-88 Downlink;OFF;145,975000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;47;EO-88 Uplink;OFF;435,030000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;;OFF;145,965000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;
00;Satellite;48;CAS-4A Split;OFF;145,870000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;435,220000;OFF;0,500000;LSB;OFF;2;;;;;;;;;;
00;Satellite;49;CAS-4A Downlink;OFF;145,870000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;50;CAS-4A Uplink;OFF;435,220000;OFF;7,600000;LSB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;51;CAS-4B Split;OFF;145,925000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;435,280000;OFF;0,500000;LSB;OFF;2;;;;;;;;;;
00;Satellite;52;CAS-4B Downlink;OFF;145,925000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;53;CAS-4B Uplink;OFF;435,280000;OFF;7,600000;LSB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;54;CAS-5A U/V Split;OFF;435,540000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;145,820000;OFF;0,500000;LSB;OFF;2;;;;;;;;;;
00;Satellite;55;CAS-5A U/V Down;OFF;435,540000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;56;CAS-5A U/V Up;OFF;145,820000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;;OFF;145,965000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;
00;Satellite;57;CAS-5A H/U Split;OFF;435,505000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;21,435000;OFF;0,500000;USB;OFF;2;;;;;;;;;;
00;Satellite;58;CAS-5A H/U Down;OFF;435,505000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;59;CAS-5A H/U Up;OFF;21,435000;OFF;0,600000;USB;OFF;2;;;;;;;;;;;OFF;145,965000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;
00;Satellite;60;CAS-5A FM;OFF;435,600000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;145,925000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;61;CAS-10 U/V Split;OFF;435,180000;OFF;0,500000;USB;OFF;2;;;;;;;;;;;ON;145,870000;OFF;0,500000;LSB;OFF;2;;;;;;;;;;
00;Satellite;62;CAS-10 Downlink;OFF;435,180000;OFF;7,600000;USB;OFF;2;;;;;;;;;;;OFF;435,640000;OFF;7,600000;USB;OFF;2;;;;;;;;;;
00;Satellite;63;CAS-10 Uplink;OFF;145,870000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;;OFF;145,965000;OFF;0,600000;LSB;OFF;2;;;;;;;;;;
00;Satellite;64;AO-91AOS;OFF;145,960000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,240000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;65;AO-91;OFF;145,960000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,245000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;66;AO-91Mid;OFF;145,960000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,250000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;67;AO-91;OFF;145,960000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,255000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;68;AO-91LOS;OFF;145,960000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,260000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
00;Satellite;69;AO-92 AOS;OFF;145,880000;OFF;0,600000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;;;;;;ON;435,340000;OFF;7,600000;FM;OFF;1;TONE;67,0Hz;67,0Hz;023;BOTH N;;;;;
