CH No;Name;Frequency;Dup;Offset;Mode;DATA;Filter;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
20;AO-7 CW BEACON;145,975000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
21;AO-7 CW BEACON;432,150000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
22;FO-29;435,850000;OFF;0,000000;USB;OFF;1;OFF;67,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
23;FO-29;145,950000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
24;FO-29 CW BEACON;435,795000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
25;FO-29 CW BEACON;145,950000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
26;XW-2B;145,740000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
27;XW-2B;435,100000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
28;XW-2B CW BEACON;145,725000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
29;XW-2B CW BEACON;435,100000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
30;XW-2C;145,805000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
31;XW-2C;435,160000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
32;XW-2C CW BEACON;145,790000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
33;XW-2C CW BEACON;435,160000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
34;XW-2D;145,870000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
35;XW-2D;435,220000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
36;XW-2D CW BEACON;145,855000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
37;XW-2D CW BEACON;435,220000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
38;AO-73;145,960000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
39;AO-73;435,150000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
40;CAS-3H;437,200000;OFF;0,000000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
41;CAS-3H;144,350000;OFF;0,000000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
42;CAS-4A;145,870000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
43;CAS-4A;435,220000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
44;CAS-4A CW BEACON;145,855000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
45;CAS-4A CW BEACON;435,220000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
46;CAS-4B;145,925000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
47;CAS-4B;435,280000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
48;CAS-4B CW BEACON;145,910000;OFF;0,000000;CW;OFF;2;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
49;CAS-4B CW BEACON;435,280000;OFF;0,000000;CW;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
50;IO-86;435,880000;OFF;0,000000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
51;IO-86;145,880000;OFF;0,000000;FM;OFF;1;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
52;JO-97;145,865000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
53;JO-97;435,110000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
54;HO-107;435,825000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
55;HO-107;145,925000;OFF;0,000000;LSB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
56;IO-117;435,310000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
57;IO-117;145,900000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
58;LEDSAT;435,310000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
59;LEDSAT;145,900000;OFF;0,000000;USB;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
60;TEVEL;436,400000;OFF;0,000000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
61;TEVEL;145,970000;OFF;0,000000;FM;OFF;1;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
62;;;;;;;;;;;;;;;;;
63;;;;;;;;;;;;;;;;;
64;;;;;;;;;;;;;;;;;
65;;;;;;;;;;;;;;;;;
66;;;;;;;;;;;;;;;;;
67;;;;;;;;;;;;;;;;;
68;;;;;;;;;;;;;;;;;
69;;;;;;;;;;;;;;;;;
70;;;;;;;;;;;;;;;;;
71;;;;;;;;;;;;;;;;;
72;;;;;;;;;;;;;;;;;
73;;;;;;;;;;;;;;;;;
74;;;;;;;;;;;;;;;;;
75;;;;;;;;;;;;;;;;;
76;;;;;;;;;;;;;;;;;
77;;;;;;;;;;;;;;;;;
78;;;;;;;;;;;;;;;;;
79;;;;;;;;;;;;;;;;;
80;;;;;;;;;;;;;;;;;
81;;;;;;;;;;;;;;;;;
82;;;;;;;;;;;;;;;;;
83;;;;;;;;;;;;;;;;;
84;;;;;;;;;;;;;;;;;
85;;;;;;;;;;;;;;;;;
86;;;;;;;;;;;;;;;;;
87;;;;;;;;;;;;;;;;;
88;;;;;;;;;;;;;;;;;
89;;;;;;;;;;;;;;;;;
90;;;;;;;;;;;;;;;;;
91;;;;;;;;;;;;;;;;;
92;;;;;;;;;;;;;;;;;
93;;;;;;;;;;;;;;;;;
94;;;;;;;;;;;;;;;;;
95;;;;;;;;;;;;;;;;;
96;;;;;;;;;;;;;;;;;
97;;;;;;;;;;;;;;;;;
98;;;;;;;;;;;;;;;;;
99;;;;;;;;;;;;;;;;;
100;;;;;;;;;;;;;;;;;
101;;;;;;;;;;;;;;;;;
102;;;;;;;;;;;;;;;;;
103;;;;;;;;;;;;;;;;;
104;;;;;;;;;;;;;;;;;
105;;;;;;;;;;;;;;;;;
106;;;;;;;;;;;;;;;;;
107;;;;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;
117;;;;;;;;;;;;;;;;;
118;;;;;;;;;;;;;;;;;
119;;;;;;;;;;;;;;;;;
120;;;;;;;;;;;;;;;;;
121;;;;;;;;;;;;;;;;;
122;;;;;;;;;;;;;;;;;
123;;;;;;;;;;;;;;;;;
124;;;;;;;;;;;;;;;;;
125;;;;;;;;;;;;;;;;;
126;;;;;;;;;;;;;;;;;
127;;;;;;;;;;;;;;;;;
128;;;;;;;;;;;;;;;;;
129;;;;;;;;;;;;;;;;;
130;;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;;;;;;
132;;;;;;;;;;;;;;;;;
133;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;;;;;;
135;;;;;;;;;;;;;;;;;
136;;;;;;;;;;;;;;;;;
137;;;;;;;;;;;;;;;;;
138;;;;;;;;;;;;;;;;;
139;;;;;;;;;;;;;;;;;
140;;;;;;;;;;;;;;;;;
141;;;;;;;;;;;;;;;;;
142;;;;;;;;;;;;;;;;;
143;;;;;;;;;;;;;;;;;
144;;;;;;;;;;;;;;;;;
145;;;;;;;;;;;;;;;;;
146;;;;;;;;;;;;;;;;;
147;;;;;;;;;;;;;;;;;
148;;;;;;;;;;;;;;;;;
149;;;;;;;;;;;;;;;;;
150;;;;;;;;;;;;;;;;;
151;;;;;;;;;;;;;;;;;
152;;;;;;;;;;;;;;;;;
153;;;;;;;;;;;;;;;;;
154;;;;;;;;;;;;;;;;;
155;;;;;;;;;;;;;;;;;
156;;;;;;;;;;;;;;;;;
157;;;;;;;;;;;;;;;;;
158;;;;;;;;;;;;;;;;;
159;;;;;;;;;;;;;;;;;
160;;;;;;;;;;;;;;;;;
161;;;;;;;;;;;;;;;;;
162;;;;;;;;;;;;;;;;;
163;;;;;;;;;;;;;;;;;
164;;;;;;;;;;;;;;;;;
165;;;;;;;;;;;;;;;;;
166;;;;;;;;;;;;;;;;;
167;;;;;;;;;;;;;;;;;
168;;;;;;;;;;;;;;;;;
169;;;;;;;;;;;;;;;;;
170;;;;;;;;;;;;;;;;;
171;;;;;;;;;;;;;;;;;
172;;;;;;;;;;;;;;;;;
173;;;;;;;;;;;;;;;;;
174;;;;;;;;;;;;;;;;;
175;;;;;;;;;;;;;;;;;
176;;;;;;;;;;;;;;;;;
177;;;;;;;;;;;;;;;;;
178;;;;;;;;;;;;;;;;;
179;;;;;;;;;;;;;;;;;
180;;;;;;;;;;;;;;;;;
181;;;;;;;;;;;;;;;;;
182;;;;;;;;;;;;;;;;;
183;;;;;;;;;;;;;;;;;
184;;;;;;;;;;;;;;;;;
185;;;;;;;;;;;;;;;;;
186;;;;;;;;;;;;;;;;;
187;;;;;;;;;;;;;;;;;
188;;;;;;;;;;;;;;;;;
189;;;;;;;;;;;;;;;;;
190;;;;;;;;;;;;;;;;;
191;;;;;;;;;;;;;;;;;
192;;;;;;;;;;;;;;;;;
193;;;;;;;;;;;;;;;;;
194;;;;;;;;;;;;;;;;;
195;;;;;;;;;;;;;;;;;
196;;;;;;;;;;;;;;;;;
197;;;;;;;;;;;;;;;;;
