Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Scan Sel,Bank,Bank CH #,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign,Filter,Data Mode
41,145.96,145.96, ,Simplex,USB,AO-73 Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,40,,,,,,,2,Off
42,435.15,435.15, ,Simplex,LSB,AO-73 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,41,,,,,,,2,Off
43,435.895,145.915, ,Split,USB,FO-99 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,42,,,,,,,2,Off
44,435.895,435.895, ,Simplex,USB,FO-99 Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,43,,,,,,,2,Off
45,145.915,145.915, ,Simplex,LSB,FO-99 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,44,,,,,,,2,Off
46,145.975,435.03, ,Split,USB,EO-88 Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,45,,,,,,,2,Off
47,145.975,145.975, ,Simplex,USB,EO-88 Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,46,,,,,,,2,Off
48,435.03,435.03, ,Simplex,LSB,EO-88 Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,47,,,,,,,2,Off
49,145.87,435.22, ,Split,USB,CAS-4A Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,48,,,,,,,2,Off
50,145.87,145.87, ,Simplex,USB,CAS-4A Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,49,,,,,,,2,Off
51,435.22,435.22, ,Simplex,LSB,CAS-4A Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,50,,,,,,,2,Off
52,145.925,435.28, ,Split,USB,CAS-4B Split,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,51,,,,,,,2,Off
53,145.925,145.925, ,Simplex,USB,CAS-4B Downlink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,52,,,,,,,2,Off
54,435.28,435.28, ,Simplex,LSB,CAS-4B Uplink,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,53,,,,,,,2,Off
55,145.96,435.24, ,Split,FM,AO-91AOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,54,,Off,0,,,,1,Off
56,145.96,435.245, ,Split,FM,AO-91,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,55,,Off,0,,,,1,Off
57,145.96,435.25, ,Split,FM,AO-91Mid,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,56,,Off,0,,,,1,Off
58,145.96,435.255, ,Split,FM,AO-91,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,57,,Off,0,,,,1,Off
59,145.96,435.26, ,Split,FM,AO-91LOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,58,,Off,0,,,,1,Off
60,145.88,435.34, ,Split,FM,AO-92 AOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,59,,Off,0,,,,1,Off
61,145.88,435.345, ,Split,FM,AO-92,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,60,,Off,0,,,,1,Off
62,145.88,435.35, ,Split,FM,AO-92 Mid,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,61,,Off,0,,,,1,Off
63,145.88,435.355, ,Split,FM,AO-92,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,62,,Off,0,,,,1,Off
64,145.88,435.36, ,Split,FM,AO-92 LOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,63,,Off,0,,,,1,Off
65,145.9,437.49, ,Split,FM,PO-101 AOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,64,,Off,0,,,,1,Off
66,145.9,437.495, ,Split,FM,PO-101,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,65,,Off,0,,,,1,Off
67,145.9,437.5, ,Split,FM,PO-101 Mid,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,66,,Off,0,,,,1,Off
68,145.9,437.505, ,Split,FM,PO-101,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,67,,Off,0,,,,1,Off
69,145.9,437.51, ,Split,FM,PO-101 LOS,None,88.5 Hz,88.5 Hz,23,Both N,All,03: Satellite,68,,Off,0,,,,1,Off
70,437.81,145.99, ,Split,FM,ISS AOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,69,,Off,0,,,,1,Off
71,437.805,145.99, ,Split,FM,ISS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,70,,Off,0,,,,1,Off
72,437.8,145.99, ,Split,FM,ISS Mid,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,71,,Off,0,,,,1,Off
73,437.795,145.99, ,Split,FM,ISS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,72,,Off,0,,,,1,Off
74,437.79,145.99, ,Split,FM,ISS LOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,73,,Off,0,,,,1,Off
75,436.805,145.85, ,Split,FM,SO-50 AOS,None,67.0 Hz,67.0 Hz,23,Both N,All,03: Satellite,74,,Off,0,,,,1,Off
